title,n_views,pricing,amenities,number,address,monday,tuesday,wednesday,thursday,friday,saturday,sunday
La Jacobine,281 reviews,€€€ ,Takes ReservationsNo DeliveryNo TakeoutAccepts Credit Cards,01 46 34 15 95,59-61 rue Saint-André des Arts 75006 Paris France,Mon6:00 PM - 11:30 PM,12:00 PM - 11:30 PM,12:00 PM - 11:30 PM,12:00 PM - 11:30 PM,12:00 PM - 11:30 PMClosed now,12:00 PM - 11:30 PM,12:00 PM - 11:30 PM
Iovine's,45 reviews,€€ ,Takes ReservationsOffers DeliveryOffers TakeoutMany Vegetarian Options,01 47 03 92 09,7 bis rue du Colonel Driant 75001 Paris France,Mon12:00 PM - 3:00 PM7:00 PM - 11:30 PM,12:00 PM - 3:00 PM7:00 PM - 11:30 PM,12:00 PM - 3:00 PM7:00 PM - 11:30 PM,12:00 PM - 3:00 PM7:00 PM - 11:30 PM,12:00 PM - 3:00 PM7:00 PM - 11:30 PMClosed now,12:00 PM - 3:00 PM7:00 PM - 11:30 PM,12:00 PM - 3:00 PM7:00 PM - 11:30 PM
LouLou,40 reviews,Unclaimed ,Takes ReservationsNo DeliveryNo TakeoutMany Vegetarian Options,01 42 60 41 96,107 rue de Rivoli 75001 Paris France,Mon12:00 PM - 11:00 PM,12:00 PM - 11:00 PM,12:00 PM - 11:00 PM,12:00 PM - 11:30 PM,12:00 PM - 11:30 PMClosed now,Closed,Closed
LouLou,40 reviews,€€€ ,Takes ReservationsNo DeliveryNo TakeoutMany Vegetarian Options,01 42 60 41 96,107 rue de Rivoli 75001 Paris France,Mon12:00 PM - 11:00 PM,12:00 PM - 11:00 PM,12:00 PM - 11:00 PM,12:00 PM - 11:30 PM,12:00 PM - 11:30 PMClosed now,Closed,Closed
Gemini,31 reviews,€€ ,Takes ReservationsOffers DeliveryOffers TakeoutAccepts Credit Cards,01 42 61 59 20,16 rue des Halles 75001 Paris France,Mon12:00 PM - 3:00 PM7:00 PM - 11:00 PM,12:00 PM - 3:00 PM7:00 PM - 11:00 PM,12:00 PM - 3:00 PM7:00 PM - 11:00 PM,12:00 PM - 3:00 PM7:00 PM - 11:00 PM,12:00 PM - 3:00 PM7:00 PM - 11:00 PMClosed now,12:00 PM - 3:00 PM7:00 PM - 11:00 PM,12:00 PM - 3:00 PM7:00 PM - 11:00 PM
Comme Chez Soi,6 reviews,Unclaimed ,Takes ReservationsNo TakeoutAccepts Credit CardsModerate Noise,01 40 47 83 29,19 rue de la Gaité 75014 Paris France,Mon12:00 PM - 3:00 PM7:00 PM - 11:30 PM,12:00 PM - 3:00 PM7:00 PM - 11:30 PM,12:00 PM - 3:00 PM7:00 PM - 11:30 PM,12:00 PM - 3:00 PM7:00 PM - 11:30 PM,12:00 PM - 3:00 PM7:00 PM - 11:30 PMClosed now,12:00 PM - 3:00 PM7:00 PM - 11:30 PM,12:00 PM - 3:00 PM7:00 PM - 11:30 PM
Comme Chez Soi,6 reviews,€€ ,Takes ReservationsNo TakeoutAccepts Credit CardsModerate Noise,01 40 47 83 29,19 rue de la Gaité 75014 Paris France,Mon12:00 PM - 3:00 PM7:00 PM - 11:30 PM,12:00 PM - 3:00 PM7:00 PM - 11:30 PM,12:00 PM - 3:00 PM7:00 PM - 11:30 PM,12:00 PM - 3:00 PM7:00 PM - 11:30 PM,12:00 PM - 3:00 PM7:00 PM - 11:30 PMClosed now,12:00 PM - 3:00 PM7:00 PM - 11:30 PM,12:00 PM - 3:00 PM7:00 PM - 11:30 PM
Victoires,222 reviews,Unclaimed ,Takes ReservationsNo DeliveryNo TakeoutAccepts Credit Cards,01 42 61 43 78,6 rue la Vrillière 75001 Paris France,Mon8:00 AM - 11:30 PM,8:00 AM - 11:30 PM,8:00 AM - 11:30 PM,8:00 AM - 11:30 PM,8:00 AM - 11:30 PMClosed now,10:30 AM - 11:30 PM,10:30 AM - 11:30 PM
Victoires,222 reviews,€€ ,Takes ReservationsNo DeliveryNo TakeoutAccepts Credit Cards,01 42 61 43 78,6 rue la Vrillière 75001 Paris France,Mon8:00 AM - 11:30 PM,8:00 AM - 11:30 PM,8:00 AM - 11:30 PM,8:00 AM - 11:30 PM,8:00 AM - 11:30 PMClosed now,10:30 AM - 11:30 PM,10:30 AM - 11:30 PM
Ellsworth,114 reviews,Unclaimed ,Takes ReservationsNo DeliveryNo TakeoutAccepts Credit Cards,01 42 60 59 66,34 rue de Richelieu 75001 Paris France,MonClosed,12:30 PM - 2:30 PM7:00 PM - 10:30 PM,12:30 PM - 2:30 PM7:00 PM - 10:30 PM,12:30 PM - 2:30 PM7:00 PM - 10:30 PM,12:30 PM - 2:30 PM7:00 PM - 10:30 PMClosed now,12:30 PM - 2:30 PM7:00 PM - 10:30 PM,11:30 AM - 3:00 PM
Ellsworth,114 reviews,€€€ ,Takes ReservationsNo DeliveryNo TakeoutAccepts Credit Cards,01 42 60 59 66,34 rue de Richelieu 75001 Paris France,MonClosed,12:30 PM - 2:30 PM7:00 PM - 10:30 PM,12:30 PM - 2:30 PM7:00 PM - 10:30 PM,12:30 PM - 2:30 PM7:00 PM - 10:30 PM,12:30 PM - 2:30 PM7:00 PM - 10:30 PMClosed now,12:30 PM - 2:30 PM7:00 PM - 10:30 PM,11:30 AM - 3:00 PM
Gambino,209 reviews,Unclaimed ,Takes ReservationsOffers TakeoutNo DeliveryAccepts Credit Cards,01 42 60 12 70,6 rue Gomboust 75001 Paris France,Mon12:00 PM - 3:00 PM7:00 PM - 11:00 PM,12:00 PM - 3:00 PM7:00 PM - 11:00 PM,12:00 PM - 3:00 PM7:00 PM - 11:00 PM,12:00 PM - 3:00 PM7:00 PM - 11:00 PM,12:00 PM - 3:00 PM7:00 PM - 11:00 PMClosed now,12:00 PM - 3:00 PM7:00 PM - 11:00 PM,Closed
Gambino,209 reviews,€€ ,Takes ReservationsOffers TakeoutNo DeliveryAccepts Credit Cards,01 42 60 12 70,6 rue Gomboust 75001 Paris France,Mon12:00 PM - 3:00 PM7:00 PM - 11:00 PM,12:00 PM - 3:00 PM7:00 PM - 11:00 PM,12:00 PM - 3:00 PM7:00 PM - 11:00 PM,12:00 PM - 3:00 PM7:00 PM - 11:00 PM,12:00 PM - 3:00 PM7:00 PM - 11:00 PMClosed now,12:00 PM - 3:00 PM7:00 PM - 11:00 PM,Closed
La Maison du Dim Sum,45 reviews,€€ ,Takes ReservationsNo DeliveryNo TakeoutAccepts Credit Cards,01 55 42 03 44,4 rue des Fossés Saint Jacques 75005 Paris France,Mon12:00 PM - 2:30 PM7:00 PM - 10:30 PM,12:00 PM - 2:30 PM7:00 PM - 10:30 PM,12:00 PM - 2:30 PM7:00 PM - 10:30 PM,12:00 PM - 2:30 PM7:00 PM - 10:30 PM,12:00 PM - 2:30 PM7:00 PM - 10:30 PMClosed now,12:00 PM - 2:30 PM7:00 PM - 10:30 PM,Closed
La Régalade,88 reviews,€€€ ,Takes ReservationsNo DeliveryNo TakeoutAccepts Credit Cards,01 42 21 92 40,106 rue Saint-Honoré 75001 Paris France,Mon12:00 PM - 2:30 PM7:00 PM - 11:00 PM,12:00 PM - 2:30 PM7:00 PM - 11:00 PM,12:00 PM - 2:30 PM7:00 PM - 11:00 PM,12:00 PM - 2:30 PM7:00 PM - 11:00 PM,12:00 PM - 2:30 PM7:00 PM - 11:00 PMClosed now,12:00 PM - 2:30 PM7:00 PM - 11:00 PM,12:00 PM - 2:30 PM7:00 PM - 11:00 PM
L'Escargot,210 reviews,Unclaimed ,Takes ReservationsNo DeliveryNo TakeoutMany Vegetarian Options,01 42 36 83 51,38 rue Montorgueil 75001 Paris France,Mon12:00 PM - 11:00 PM,12:00 PM - 11:00 PM,12:00 PM - 11:00 PM,12:00 PM - 11:00 PM,12:00 PM - 11:00 PMClosed now,12:00 PM - 11:00 PM,12:00 PM - 11:00 PM
L'Escargot,210 reviews,€€€ ,Takes ReservationsNo DeliveryNo TakeoutMany Vegetarian Options,01 42 36 83 51,38 rue Montorgueil 75001 Paris France,Mon12:00 PM - 11:00 PM,12:00 PM - 11:00 PM,12:00 PM - 11:00 PM,12:00 PM - 11:00 PM,12:00 PM - 11:00 PMClosed now,12:00 PM - 11:00 PM,12:00 PM - 11:00 PM
Claus - La Table du Petit-Déjeuner,249 reviews,€€€ ,Takes ReservationsOffers DeliveryOffers TakeoutMany Vegetarian Options,01 42 33 55 10,14 rue Jean-Jacques Rousseau 75001 Paris France,Mon8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PMClosed now,9:30 AM - 5:00 PM,9:30 AM - 5:00 PM
Clamato,84 reviews,Unclaimed ,No ReservationsNo DeliveryNo TakeoutMany Vegetarian Options,01 43 72 74 53,80 rue Charonne 75011 Paris France,Mon12:00 PM - 2:30 PM7:00 PM - 11:00 PM,12:00 PM - 2:30 PM7:00 PM - 11:00 PM,12:00 PM - 2:30 PM7:00 PM - 11:00 PM,12:00 PM - 2:30 PM7:00 PM - 11:00 PM,12:00 PM - 2:30 PM7:00 PM - 11:00 PMClosed now,12:00 PM - 11:00 PM,12:00 PM - 11:00 PM
Clamato,84 reviews,€€€ ,No ReservationsNo DeliveryNo TakeoutMany Vegetarian Options,01 43 72 74 53,80 rue Charonne 75011 Paris France,Mon12:00 PM - 2:30 PM7:00 PM - 11:00 PM,12:00 PM - 2:30 PM7:00 PM - 11:00 PM,12:00 PM - 2:30 PM7:00 PM - 11:00 PM,12:00 PM - 2:30 PM7:00 PM - 11:00 PM,12:00 PM - 2:30 PM7:00 PM - 11:00 PMClosed now,12:00 PM - 11:00 PM,12:00 PM - 11:00 PM
Le Porte Pot,133 reviews,€€ ,Takes ReservationsOffers TakeoutNo DeliveryMany Vegetarian Options,01 43 25 24 24,14 rue Boutebrie 75005 Paris France,MonClosed,6:30 PM - 12:00 AM (Next day),6:30 PM - 12:00 AM (Next day),6:30 PM - 12:00 AM (Next day),6:30 PM - 12:00 AM (Next day)Closed now,12:00 PM - 2:00 PM6:30 PM - 12:00 AM (Next day),Closed
L'Arpège,212 reviews,€€€€ ,Takes ReservationsNo DeliveryNo TakeoutPescatarian Options,01 47 05 09 06,84 rue de Varenne 75007 Paris France,Mon12:30 PM - 2:30 PM7:00 PM - 10:30 PM,12:00 PM - 2:30 PM7:00 PM - 10:30 PM,12:30 PM - 2:30 PM7:00 PM - 10:30 PM,12:30 PM - 2:30 PM7:00 PM - 10:30 PM,12:30 PM - 2:30 PM7:00 PM - 10:30 PMClosed now,Closed,Closed
Odette,5 reviews,Unclaimed ,NA,01 44 88 92 78,25 rue du Pont Neuf 75001 Paris France,,,,,,,
Ferdi,126 reviews,€€€ ,Takes ReservationsNo DeliveryNo TakeoutMany Vegetarian Options,06 51 70 29 70,32 rue du Mont Thabor 75001 Paris France,Mon6:30 PM - 11:30 PM,6:30 PM - 11:30 PM,6:30 PM - 11:30 PM,6:30 PM - 11:30 PM,6:30 PM - 11:30 PMClosed now,1:00 PM - 4:00 PM7:00 PM - 11:30 PM,6:30 PM - 11:30 PM
Le Brun,8 reviews,NA,Takes Reservations,09 54 00 10 47,95 rue Saint Honoré 75001 Paris France,Mon12:00 PM - 3:30 PM7:00 PM - 12:00 AM (Next day),12:00 PM - 3:30 PM7:00 PM - 12:00 AM (Next day),12:00 PM - 3:30 PM7:00 PM - 12:00 AM (Next day),12:00 PM - 3:30 PM7:00 PM - 12:00 AM (Next day),12:00 PM - 3:30 PM7:00 PM - 12:00 AM (Next day)Closed now,12:00 PM - 3:30 PM7:00 PM - 12:00 AM (Next day),12:00 PM - 3:30 PM7:00 PM - 12:00 AM (Next day)
Grenouilles,38 reviews,€ ,Offers TakeoutNo DeliveryAccepts Credit CardsModerate Noise,06 65 13 95 67,55 rue du Chevalier de la Barre 75018 Paris France,Mon9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,9:00 AM - 6:00 PMClosed now,9:00 AM - 7:00 PM,9:00 AM - 6:00 PM
Okuda,6 reviews,Unclaimed ,No DeliveryNo TakeoutAccepts Credit CardsClassy,01 40 70 19 19,7 rue de la Trémoille 75008 Paris France,MonClosed,6:00 PM - 9:30 PM,12:00 PM - 1:30 PM6:00 PM - 9:30 PM,12:00 PM - 1:30 PM6:00 PM - 9:30 PM,12:00 PM - 1:30 PM6:00 PM - 9:30 PMClosed now,12:00 PM - 1:30 PM6:00 PM - 9:30 PM,12:00 PM - 1:30 PM6:00 PM - 9:30 PM
Chungking Express,20 reviews,Unclaimed ,Takes ReservationsOffers TakeoutNo DeliveryMany Vegetarian Options,09 82 36 03 17,5 rue de la Tour d'Auvergne 75009 Paris France,Mon7:00 PM - 11:00 PM,12:00 PM - 2:30 PM7:00 PM - 11:00 PM,12:00 PM - 2:30 PM7:00 PM - 11:00 PM,7:00 PM - 11:00 PM,12:00 PM - 2:30 PM7:00 PM - 11:00 PMClosed now,12:00 PM - 2:30 PM7:00 PM - 11:00 PM,12:00 PM - 2:30 PM7:00 PM - 11:00 PM
Chungking Express,20 reviews,€€ ,Takes ReservationsOffers TakeoutNo DeliveryMany Vegetarian Options,09 82 36 03 17,5 rue de la Tour d'Auvergne 75009 Paris France,Mon7:00 PM - 11:00 PM,12:00 PM - 2:30 PM7:00 PM - 11:00 PM,12:00 PM - 2:30 PM7:00 PM - 11:00 PM,7:00 PM - 11:00 PM,12:00 PM - 2:30 PM7:00 PM - 11:00 PMClosed now,12:00 PM - 2:30 PM7:00 PM - 11:00 PM,12:00 PM - 2:30 PM7:00 PM - 11:00 PM
Aux Vieux Garçons,13 reviews,Unclaimed ,No DeliveryAccepts Credit CardsOutdoor SeatingCasual Dress,01 42 22 06 57,213 bd St Germain 75007 Paris France,Mon8:00 AM - 12:00 AM (Next day),8:00 AM - 12:00 AM (Next day),8:00 AM - 12:00 AM (Next day),8:00 AM - 12:00 AM (Next day),8:00 AM - 12:00 AM (Next day)Closed now,8:00 AM - 12:00 AM (Next day),8:00 AM - 12:00 AM (Next day)
Aux Vieux Garçons,13 reviews,€€€ ,No DeliveryAccepts Credit CardsOutdoor SeatingCasual Dress,01 42 22 06 57,213 bd St Germain 75007 Paris France,Mon8:00 AM - 12:00 AM (Next day),8:00 AM - 12:00 AM (Next day),8:00 AM - 12:00 AM (Next day),8:00 AM - 12:00 AM (Next day),8:00 AM - 12:00 AM (Next day)Closed now,8:00 AM - 12:00 AM (Next day),8:00 AM - 12:00 AM (Next day)
Le Grenier de Notre-Dame,103 reviews,€€ ,Takes ReservationsOffers TakeoutNo DeliveryVegan Options,01 43 29 98 29,18 rue de la Bucherie 75005 Paris France,Mon12:00 PM - 11:00 PM,12:00 PM - 11:00 PM,12:00 PM - 11:00 PM,12:00 PM - 11:00 PM,12:00 PM - 11:00 PMClosed now,12:00 PM - 11:00 PM,12:00 PM - 11:00 PM
Le Cadoret,3 reviews,Unclaimed ,NA,01 53 21 92 13,1 rue Pradier 75019 Paris France,,,,,,,
Aux Lyonnais,74 reviews,€€€ ,Takes ReservationsNo DeliveryNo TakeoutAccepts Credit Cards,01 58 00 22 06,32 rue Saint-Marc 75002 Paris France,MonClosed,12:00 PM - 2:00 PM7:30 PM - 10:00 PM,12:00 PM - 2:00 PM7:30 PM - 10:00 PM,12:00 PM - 2:00 PM7:30 PM - 10:00 PM,12:00 PM - 2:00 PM7:00 PM - 10:00 PMClosed now,7:00 PM - 10:00 PM,Closed
Tour d'Argent,144 reviews,€€€€ ,Takes ReservationsNo DeliveryNo TakeoutMany Vegetarian Options,01 43 54 23 31,15 quai de la Tournelle 75005 Paris France,MonClosed,12:00 PM - 2:00 PM7:00 PM - 10:30 PM,12:00 PM - 2:00 PM7:00 PM - 10:30 PM,12:00 PM - 2:00 PM7:00 PM - 10:30 PM,12:00 PM - 2:00 PM7:00 PM - 10:30 PMClosed now,12:00 PM - 2:00 PM7:00 PM - 10:30 PM,Closed
Crêperie Saint Eustache,50 reviews,€€ ,Takes ReservationsOffers TakeoutNo DeliveryAccepts Credit Cards,01 40 28 40 39,2 rue Sauval 75001 Paris France,Mon12:00 PM - 3:30 PM,12:00 PM - 3:30 PM,12:00 PM - 3:30 PM,12:00 PM - 3:30 PM,12:00 PM - 3:30 PMClosed now,12:00 PM - 3:30 PM,Closed
Au Pied du Sacré Coeur,161 reviews,€€ ,Takes ReservationsOffers DeliveryOffers TakeoutVegan Options,01 46 06 15 26,85 rue Lamarck 75018 Paris France,Mon12:00 PM - 2:30 PM7:00 PM - 10:30 PM,12:00 PM - 2:30 PM7:00 PM - 10:30 PM,12:00 PM - 2:30 PM7:00 PM - 10:30 PM,12:00 PM - 2:30 PM7:00 PM - 10:30 PM,12:00 PM - 2:30 PM7:00 PM - 10:30 PMClosed now,12:00 PM - 2:30 PM7:00 PM - 10:30 PM,12:00 PM - 2:30 PM7:00 PM - 10:30 PM
Chez Georges,69 reviews,€€€ ,Takes ReservationsNo DeliveryNo TakeoutMany Vegetarian Options,01 42 60 07 11,1 rue du Mail 75002 Paris France,Mon12:00 PM - 2:30 PM7:00 PM - 11:00 PM,12:00 PM - 2:30 PM7:00 PM - 11:00 PM,12:00 PM - 2:30 PM7:00 PM - 11:00 PM,12:00 PM - 2:30 PM7:00 PM - 11:00 PM,12:00 PM - 2:30 PM7:00 PM - 11:00 PMClosed now,Closed,Closed
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Le P'tit Bistro,14 reviews,Unclaimed ,Takes ReservationsNo DeliveryNo TakeoutAccepts Credit Cards,01 42 78 55 80,8 rue Saint-Martin 75004 Paris France,Mon7:30 AM - 10:00 PM,7:30 AM - 10:00 PM,7:30 AM - 10:00 PM,7:30 AM - 10:00 PM,7:30 AM - 10:00 PMClosed now,7:30 AM - 10:00 PM,Closed
Le P'tit Bistro,14 reviews,€€ ,Takes ReservationsNo DeliveryNo TakeoutAccepts Credit Cards,01 42 78 55 80,8 rue Saint-Martin 75004 Paris France,Mon7:30 AM - 10:00 PM,7:30 AM - 10:00 PM,7:30 AM - 10:00 PM,7:30 AM - 10:00 PM,7:30 AM - 10:00 PMClosed now,7:30 AM - 10:00 PM,Closed
Restaurant de la Tour,50 reviews,€€€ ,Takes ReservationsNo DeliveryNo TakeoutAccepts Credit Cards,01 43 06 04 24,6 Rue Desaix 75015 Paris France,Mon12:00 PM - 2:30 PM7:00 PM - 10:30 PM,12:00 PM - 2:30 PM7:00 PM - 10:30 PM,12:00 PM - 2:30 PM7:00 PM - 10:30 PM,12:00 PM - 2:30 PM7:00 PM - 10:30 PM,12:00 PM - 2:30 PM7:00 PM - 10:30 PMClosed now,Closed,Closed
Table,10 reviews,Unclaimed ,Takes ReservationsNo DeliveryNo TakeoutAccepts Credit Cards,01 43 43 12 26,3 rue Prague 75012 Paris France,Mon12:00 PM - 3:00 PM8:00 PM - 10:30 PM,12:00 PM - 3:00 PM8:00 PM - 10:30 PM,12:00 PM - 3:00 PM8:00 PM - 10:30 PM,12:00 PM - 3:00 PM8:00 PM - 10:30 PM,12:00 PM - 3:00 PM8:00 PM - 10:30 PMClosed now,Closed,Closed
Table,10 reviews,€€€€ ,Takes ReservationsNo DeliveryNo TakeoutAccepts Credit Cards,01 43 43 12 26,3 rue Prague 75012 Paris France,Mon12:00 PM - 3:00 PM8:00 PM - 10:30 PM,12:00 PM - 3:00 PM8:00 PM - 10:30 PM,12:00 PM - 3:00 PM8:00 PM - 10:30 PM,12:00 PM - 3:00 PM8:00 PM - 10:30 PM,12:00 PM - 3:00 PM8:00 PM - 10:30 PMClosed now,Closed,Closed
Enza & Famiglia Trattoria Pasta,41 reviews,€€ ,Takes ReservationsOffers TakeoutNo DeliveryAccepts Credit Cards,01 40 41 06 25,89 rue Saint-Honoré 75001 Paris France,Mon12:00 PM - 2:30 PM7:30 PM - 10:30 PM,12:00 PM - 2:30 PM7:30 PM - 10:30 PM,12:00 PM - 2:30 PM7:30 PM - 10:30 PM,12:00 PM - 2:30 PM7:30 PM - 10:30 PM,12:00 PM - 2:30 PM7:30 PM - 10:30 PMClosed now,12:00 PM - 2:30 PM7:30 PM - 10:30 PM,Closed
Boulettes,48 reviews,€€ ,Takes ReservationsOffers TakeoutNo DeliveryVegan Options,01 42 21 46 44,179 rue Saint-Denis 75002 Paris France,Mon11:30 AM - 4:00 PM,11:30 AM - 4:00 PM,11:30 AM - 4:00 PM,11:30 AM - 4:00 PM6:30 PM - 11:00 PM,11:30 AM - 4:00 PM6:30 PM - 11:00 PMClosed now,11:30 AM - 4:00 PM,Closed
Café Plume,19 reviews,Unclaimed ,Takes ReservationsMany Vegetarian OptionsAccepts Credit CardsOutdoor Seating,01 42 60 27 66,164 rue Saint-Honoré 75001 Paris France,Mon7:30 AM - 2:00 AM (Next day),7:30 AM - 2:00 AM (Next day),7:30 AM - 2:00 AM (Next day),7:30 AM - 2:00 AM (Next day),7:30 AM - 2:00 AM (Next day)Closed now,7:30 AM - 2:00 AM (Next day),7:30 AM - 2:00 AM (Next day)
Café Plume,19 reviews,€€ ,Takes ReservationsMany Vegetarian OptionsAccepts Credit CardsOutdoor Seating,01 42 60 27 66,164 rue Saint-Honoré 75001 Paris France,Mon7:30 AM - 2:00 AM (Next day),7:30 AM - 2:00 AM (Next day),7:30 AM - 2:00 AM (Next day),7:30 AM - 2:00 AM (Next day),7:30 AM - 2:00 AM (Next day)Closed now,7:30 AM - 2:00 AM (Next day),7:30 AM - 2:00 AM (Next day)
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lion Sot,6 reviews,Unclaimed ,Many Vegetarian OptionsTV,06 12 88 69 59,6 avenue René Coty 75014 Paris France,Mon12:00 PM - 3:00 PM7:00 PM - 11:00 PM,12:00 PM - 3:00 PM7:00 PM - 11:00 PM,12:00 PM - 3:00 PM7:00 PM - 11:00 PM,12:00 PM - 3:00 PM7:00 PM - 11:00 PM,12:00 PM - 3:00 PM7:00 PM - 11:00 PMClosed now,12:00 PM - 3:00 PM7:00 PM - 11:00 PM,12:00 PM - 3:00 PM7:00 PM - 11:00 PM
Café Blanc,36 reviews,Unclaimed ,Takes ReservationsAccepts Credit CardsOutdoor SeatingClassy,01 42 33 55 85,10 rue Croix des Petits Champs 75001 Paris France,Mon6:00 AM - 2:00 AM (Next day),6:00 AM - 2:00 AM (Next day),6:00 AM - 2:00 AM (Next day),6:00 AM - 2:00 AM (Next day),6:00 AM - 2:00 AM (Next day)Closed now,6:00 AM - 2:00 AM (Next day),6:00 AM - 2:00 AM (Next day)
LiLi,10 reviews,€€€ ,Takes ReservationsNo DeliveryNo TakeoutAccepts Credit Cards,01 58 12 67 50,19 avenue Kléber 75016 Paris France,Mon12:00 PM - 2:30 PM7:00 PM - 10:30 PM,12:00 PM - 2:30 PM7:00 PM - 10:30 PM,12:00 PM - 2:30 PM,7:00 PM - 10:30 PM,12:00 PM - 2:30 PMClosed now,7:00 PM - 10:30 PM,12:00 PM - 2:30 PM7:00 PM - 10:30 PM
L'Ange 20,42 reviews,€€€ ,Takes ReservationsNo DeliveryNo TakeoutMany Vegetarian Options,01 49 96 58 39,44 rue des Tournelles 75004 Paris France,MonClosed,Closed,12:00 PM - 2:30 PM6:30 PM - 11:00 PM,12:00 PM - 2:30 PM6:30 PM - 11:00 PM,12:00 PM - 2:30 PM6:30 PM - 11:00 PMClosed now,12:00 PM - 2:30 PM6:30 PM - 11:00 PM,12:00 PM - 2:30 PM6:30 PM - 11:00 PM
Café de Paris,61 reviews,€€ ,Takes ReservationsNo DeliveryNo TakeoutMany Vegetarian Options,01 42 60 84 26,3 rue de l'Échelle 75001 Paris France,Mon8:00 AM - 1:00 AM (Next day),8:00 AM - 1:00 AM (Next day),8:00 AM - 1:00 AM (Next day),8:00 AM - 1:00 AM (Next day),8:00 AM - 1:00 AM (Next day)Closed now,8:00 AM - 1:00 AM (Next day),8:00 AM - 1:00 AM (Next day)
Le Relais de l’Entrecôte,503 reviews,Unclaimed ,No ReservationsNo DeliveryNo TakeoutVegan Options,01 49 52 07 17,15 rue Marbeuf 75008 Paris France,Mon12:00 PM - 2:30 PM7:00 PM - 11:30 PM,12:00 PM - 2:30 PM7:00 PM - 11:30 PM,12:00 PM - 2:30 PM7:00 PM - 11:30 PM,12:00 PM - 2:30 PM7:00 PM - 11:30 PM,12:00 PM - 2:30 PM7:00 PM - 11:30 PMClosed now,12:00 PM - 2:30 PM7:00 PM - 11:30 PM,12:00 PM - 2:30 PM7:00 PM - 11:30 PM
Le Relais de l’Entrecôte,503 reviews,€€€ ,No ReservationsNo DeliveryNo TakeoutVegan Options,01 49 52 07 17,15 rue Marbeuf 75008 Paris France,Mon12:00 PM - 2:30 PM7:00 PM - 11:30 PM,12:00 PM - 2:30 PM7:00 PM - 11:30 PM,12:00 PM - 2:30 PM7:00 PM - 11:30 PM,12:00 PM - 2:30 PM7:00 PM - 11:30 PM,12:00 PM - 2:30 PM7:00 PM - 11:30 PMClosed now,12:00 PM - 2:30 PM7:00 PM - 11:30 PM,12:00 PM - 2:30 PM7:00 PM - 11:30 PM
Scossa,48 reviews,€€€ ,Takes ReservationsNo DeliveryNo TakeoutAccepts Credit Cards,01 53 64 24 00,8 place Victor Hugo 75116 Paris France,,,,,,,
Le P'tit Barcelone,9 reviews,€€ ,Takes ReservationsOffers TakeoutNo DeliveryAccepts Credit Cards,01 40 22 96 39,10 Rue Boule Rouge 75009 Paris France,Mon11:30 AM - 2:00 AM (Next day),11:30 AM - 2:00 AM (Next day),11:30 AM - 2:00 AM (Next day),11:30 AM - 2:00 AM (Next day),11:30 AM - 2:00 AM (Next day)Closed now,11:30 AM - 2:00 AM (Next day),Closed
Ô Chateau,146 reviews,€€ ,Takes ReservationsOffers DeliveryOffers TakeoutAccepts Credit Cards,01 44 73 97 80,68 rue Jean-Jacques Rousseau 75001 Paris France,Mon4:00 PM - 12:00 AM (Next day),4:00 PM - 12:00 AM (Next day),4:00 PM - 12:00 AM (Next day),4:00 PM - 12:00 AM (Next day),4:00 PM - 12:00 AM (Next day)Closed now,4:00 PM - 12:00 AM (Next day),Closed
David Toutain,69 reviews,€€€€ ,Takes ReservationsNo DeliveryNo TakeoutAccepts Credit Cards,01 45 50 11 10,29 rue Surcouf 75007 Paris France,Mon12:00 PM - 2:00 PM7:00 PM - 9:30 PM,12:00 PM - 2:00 PM7:00 PM - 9:30 PM,12:00 PM - 2:00 PM7:00 PM - 9:30 PM,12:00 PM - 2:00 PM7:00 PM - 9:30 PM,12:00 PM - 2:00 PM7:00 PM - 9:30 PMClosed now,Closed,Closed
Pavillon Ledoyen,67 reviews,€€€€ ,Takes ReservationsNo DeliveryNo TakeoutMany Vegetarian Options,01 53 05 10 00,8 avenue Dutuit 75008 Paris France,Mon12:30 PM - 10:00 PM,12:30 PM - 10:00 PM,12:30 PM - 10:00 PM,12:30 PM - 10:00 PM,12:30 PM - 10:00 PMClosed now,Closed,Closed
Frame,47 reviews,€€€ ,Takes ReservationsNo DeliveryNo TakeoutMany Vegetarian Options,01 44 38 57 77,28 rue Jean Rey 75015 Paris France,Mon10:00 AM - 1:00 AM (Next day),10:00 AM - 1:00 AM (Next day),10:00 AM - 1:00 AM (Next day),10:00 AM - 1:00 AM (Next day),10:00 AM - 1:00 AM (Next day)Closed now,10:00 AM - 1:00 AM (Next day),10:00 AM - 1:00 AM (Next day)
Le Saint André,21 reviews,Unclaimed ,Offers TakeoutNo ReservationsNo DeliveryAccepts Credit Cards,Get Directions,2 rue Danton 75006 Paris France,,,,,,,
Le Saint André,21 reviews,€€ ,Offers TakeoutNo ReservationsNo DeliveryAccepts Credit Cards,Get Directions,2 rue Danton 75006 Paris France,,,,,,,
